code,name,date,close,open,high,low,volume
005930,삼성전자,05.26,79800,80400,80500,79700,11984359
005930,삼성전자,05.25,79900,80000,80400,79800,13628942
005930,삼성전자,05.24,79700,80100,80400,79500,13398666
005930,삼성전자,05.21,80100,80100,81500,79800,20961714
005930,삼성전자,05.20,79500,79400,79700,79100,16541828
005930,삼성전자,05.18,79600,79600,80000,79100,17494407
005930,삼성전자,05.17,79600,80800,80900,79200,17740855
005930,삼성전자,05.14,80100,79000,80300,78900,16450920
005930,삼성전자,05.13,78500,78900,79600,78400,31490096
005930,삼성전자,05.12,80000,80800,81200,79800,35812268
005930,삼성전자,05.11,81200,82500,82600,81100,28996680
005930,삼성전자,05.10,83200,82300,83500,81800,19385027
005930,삼성전자,05.07,81900,81800,82100,81500,14154882
005930,삼성전자,05.06,82300,81700,82300,81700,17047511
005930,삼성전자,05.04,82600,81900,82600,81800,12532550
005930,삼성전자,05.03,81700,81000,82400,81000,15710336
005930,삼성전자,04.30,81500,81900,82100,81500,18673197
005930,삼성전자,04.29,81700,82400,82500,81500,20000973
005930,삼성전자,04.28,82100,83200,83200,82100,15596759
005930,삼성전자,04.27,82900,83200,83300,82500,12941533
005930,삼성전자,04.26,83500,82900,83500,82600,15489938
005930,삼성전자,04.23,82800,81900,82900,81600,17805080
005930,삼성전자,04.22,82400,82900,83000,82400,13934746
000660,SK하이닉스,07.16,121000,122000,122500,120500,1145464
000660,SK하이닉스,07.15,123500,123500,124000,122500,1500981
000660,SK하이닉스,07.14,123500,122500,124000,121500,2443087
000660,SK하이닉스,07.13,123000,121000,123500,121000,2879072
000660,SK하이닉스,07.12,120000,121000,122000,119500,2477201
000660,SK하이닉스,07.09,119500,120500,120500,118000,4823577
000660,SK하이닉스,07.08,121500,123500,123500,121000,3165552
000660,SK하이닉스,07.07,123500,125000,125500,122500,2229140
000660,SK하이닉스,07.06,125000,124000,126000,123500,2067135
000660,SK하이닉스,07.05,123000,123500,124500,122500,1632551
000660,SK하이닉스,07.02,122500,122500,123500,121500,3983921
000660,SK하이닉스,07.01,124500,127500,128000,124000,3336174
000660,SK하이닉스,06.30,127500,126500,129500,126000,4346027
000660,SK하이닉스,06.29,125000,127500,128000,125000,2211572
000660,SK하이닉스,06.28,126000,129000,129500,126000,2402730
000660,SK하이닉스,06.25,128500,128000,129000,127500,2531018
000660,SK하이닉스,06.24,126000,124000,126500,123500,2646407
000660,SK하이닉스,06.23,124000,122500,124500,122000,2703658
000660,SK하이닉스,06.22,122000,122500,123500,122000,2179712
000660,SK하이닉스,06.21,122000,121000,123000,120500,3275288
000660,SK하이닉스,06.18,124500,127500,127500,124500,2506112
000660,SK하이닉스,06.17,126500,127000,128000,126000,2123793
000660,SK하이닉스,06.16,129500,128000,129500,127000,1893752
000660,SK하이닉스,06.15,128500,128500,129500,128000,1975082
000660,SK하이닉스,06.14,127000,127000,127500,125500,2022730
